uniquecode,Cruise_no,Ship_code,Year,Season,Line,Station,Larval_ID,d15N
504 NH 86.7 35,504,NH,2005,Spring,86.7,35,Q2,13.21589662
504 NH 86.7 35,504,NH,2005,Spring,86.7,35,Q3,13.28876725
504 NH 90 37,504,NH,2005,Spring,90,37,Q7,12.90490153
504 NH 90 37,504,NH,2005,Spring,90,37,Q9,12.86224093
504 NH 93.3 35,504,NH,2005,Spring,93.3,35,Q13,12.4715921
504 NH 93.3 35,504,NH,2005,Spring,93.3,35,Q15,12.2256572
504 NH 93.3 40,504,NH,2005,Spring,93.3,40,Q34,13.33305926
6004 HO 90 37,6004,HO,1960,Spring,90,37,W17,13.37856116
6004 HO 90 37,6004,HO,1960,Spring,90,37,W18,13.36772358
6005 OR 90 65,6005,OR,1960,Spring,90,65,W28,11.94587723
6005 OR 90 65,6005,OR,1960,Spring,90,65,W35,12.15699324
6005 OR 93.3 60,6005,OR,1960,Spring,93.3,60,W41,10.20311848
6005 OR 93.3 60,6005,OR,1960,Spring,93.3,60,W43,10.04133054
6005 OR 93.3 60,6005,OR,1960,Spring,93.3,60,W45,9.604201099
6005 OR 93.3 60,6005,OR,1960,Spring,93.3,60,W46,9.727635025
6005 OR 93.3 60,6005,OR,1960,Spring,93.3,60,W54,10.65673428
6005 OR 93.3 85,6005,OR,1960,Spring,93.3,85,W71,12.63358509
6005 OR 93.3 85,6005,OR,1960,Spring,93.3,85,W72,12.90003892
6304 AX 80 100,6304,AX,1963,Spring,80,100,Y5,14.39908401
6304 AX 86.7 33,6304,AX,1963,Spring,86.7,33,Y30,13.60861848
6304 AX 90 37,6304,AX,1963,Spring,90,37,Y7,13.48385295
6304 AX 90 37,6304,AX,1963,Spring,90,37,Y8,13.57988858
6304 AX 90 65,6304,AX,1963,Spring,90,65,Y14,13.66527382
6304 BD 93.3 80,6304,BD,1963,Spring,93.3,80,Y41,13.41625279
6304 BD 93.3 80,6304,BD,1963,Spring,93.3,80,Y49,13.9577313
6401 AX 80.8 54,6401,AX,1964,Winter,80.8,54,Z1,12.62756888
6401 AX 81.5 46.1,6401,AX,1964,,81.5,46.1,Z3,12.41924861
6401 AX 81.5 50.4,6401,AX,1964,Winter,81.5,50.4,Z7,12.14549252
6401 BD 93.3 26.5,6401,BD,1964,Winter,93.3,26.5,Z11,13.74893048
6401 BD 93.3 26.5,6401,BD,1964,Winter,93.3,26.5,Z12,12.9605321
6401 BD 93.3 26.5,6401,BD,1964,Winter,93.3,26.5,Z15,13.3105855
6401 BD 93.3 26.5,6401,BD,1964,,93.3,26.5,Z9,12.9958026
