Year,Corr_year,Season,YearSeason,Season_time,NPGO_S,PDO_S,MEI_S,Upwelling_S,Upwelling_anormality_S,Stress_curl_S,Ekman_offshore_S,Ekman_north,Season_Index
1959,1959,Spring,1959Spring,0,-0.427073893,-0.246666667,0.220333333,254,60.66666667,-29.33333333,254.3333333,15,1
1959,1958,Summer,1959Summer,-3,-0.424687157,-0.226666667,-0.012666667,367.6666667,116,-274,367.6666667,-91,2
1959,1959,Winter,1959Winter,-1,-0.29102917,0.373333333,0.671666667,24.66666667,-1,83.33333333,24.66666667,-165,3
1960,1959,Fall,1960Fall,-2,0.655293223,-0.36,-0.383666667,69.66666667,-8.666666667,152.3333333,69,-136,4
1960,1960,Spring,1960Spring,0,0.858557097,0.263333333,-0.14,236.3333333,43,67.66666667,236.6666667,-216,5
1960,1959,Summer,1960Summer,-3,0.486747137,-0.003333333,-0.281666667,168,-83.66666667,33.33333333,168,-94,6
1960,1960,Winter,1960Winter,-1,0.752581117,0.293333333,-0.278,38,12.33333333,36.66666667,38,-103,7
1961,1960,Fall,1961Fall,-2,0.44742972,-2.046666667,-0.425333333,36,-42.33333333,106,35.66666667,-59,8
1961,1961,Spring,1961Spring,0,1.36892174,0.123333333,-0.129333333,243.6666667,50.33333333,-148,245,-23,9
1961,1960,Summer,1961Summer,-3,1.113063267,-0.986666667,-0.219,164,-87.66666667,59,164,-15,10
1961,1961,Winter,1961Winter,-1,1.1995759,0.593333333,-0.279,33.33333333,7.666666667,189.6666667,32.33333333,32,11
1962,1961,Fall,1962Fall,-2,0.314687033,-1.166666667,-0.614666667,93.66666667,15.33333333,157.3333333,93.66666667,-15,12
1962,1962,Spring,1962Spring,0,-0.606035993,-1.146666667,-0.891333333,177.3333333,-16,-66,177.6666667,10,13
1962,1961,Summer,1962Summer,-3,-0.245723319,-1.186666667,-0.698666667,234,-17.66666667,31.33333333,234.3333333,-48,14
1962,1962,Winter,1962Winter,-1,0.140785213,-1.71,-0.903,18.66666667,-7,186,17.66666667,-109,15
1963,1962,Fall,1963Fall,-2,0.429334713,-0.716666667,0.802666667,34,-44.33333333,176,33,-144,16
1963,1963,Spring,1963Spring,0,-0.778448603,-0.533333333,-0.646,164,-29.33333333,-113.3333333,165.3333333,-174,17
1963,1962,Summer,1963Summer,-3,-0.405845533,-0.97,0.303666667,270.3333333,18.66666667,-188,271.3333333,-67,18
1963,1963,Winter,1963Winter,-1,-0.209223423,-0.483333333,-0.702333333,8,-17.66666667,116.3333333,7.333333333,-148,19
1964,1963,Fall,1964Fall,-2,0.566539797,-0.616666667,-1.258333333,116.3333333,38,-64.66666667,118,-60,20
1964,1964,Spring,1964Spring,0,0.291241287,-1.27,-0.693333333,302.3333333,109,-44,263.6666667,-17,21
1964,1963,Summer,1964Summer,-3,1.089984583,-0.62,-1.341,422.6666667,171,-556.6666667,410,19,22
1964,1964,Winter,1964Winter,-1,0.635469503,-0.426666667,0.695333333,11.33333333,-14.33333333,333,7.666666667,21,23
1965,1964,Fall,1965Fall,-2,-0.8195278,-0.12,1.329,66.66666667,-11.66666667,-2.666666667,68.33333333,-4,24
1965,1965,Spring,1965Spring,0,-0.993733447,0,0.086333333,159.6666667,-33.66666667,-23.66666667,160,-2,25
1965,1964,Summer,1965Summer,-3,-0.65548186,-0.356666667,1.239333333,288.6666667,37,-352.3333333,291.3333333,-28,26
