Cruise_no,Ship_code,Year,Season,YearSeason,Line,Station,Species,Larval_ID,SL_mm,Phe_d15N,TP_Glu_Phe,TP_Trp_Scr,Energy_20
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,C23,20,2.36,3.19122807,2.652607752,7.00
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C30,21,6.943419419,2.914047658,2.529128269,8.53
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C34,20,4.355314533,2.991834994,2.8263318,5.29
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C36,18,2.654066379,3.125373267,2.570794998,7.98
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,C5,21,2.59403711,3.463628789,2.806202696,5.46
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C59,19,4.344898804,3.32499675,2.839460193,5.18
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E1,22.83,1.141886492,3.140347259,2.45293937,9.65
8401,JD,1984,Winter,1984Winter,83.3,40.6,Anchovy,E12,19.67,-0.407150765,3.08232906,2.608501281,7.51
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E2,19.67,3.350393624,2.78077171,2.281296826,12.72
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E20,21,1.170740321,3.194717243,2.369194097,11.04
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E22,18,3.535247025,2.438186099,2.227637881,13.86
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E23,18,0.062181279,2.976875877,2.741568434,6.06
8402,NH,1984,Winter,1984Winter,80,70,Anchovy,E26,18.17,2.781369822,2.858970854,2.343537153,11.50
8402,NH,1984,Winter,1984Winter,80,70,Anchovy,E27,20.5,6.346653091,2.429580295,2.078052546,17.64
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E3,19,1.570583976,2.983097472,2.476908685,9.28
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E37,20,-1.453214623,3.652553259,2.829371748,5.26
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E4,19.5,-4.008591721,4.025120223,3.420014542,2.03
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E44,18.17,2.399959744,3.065295594,2.543376243,8.34
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E49,19,4.741319928,2.656985986,2.383830572,10.78
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E55,20.5,6.211090232,2.527012562,2.325402899,11.85
8403,JD,1984,Spring,1984Spring,83.3,42,Anchovy,E58,20.67,0.692439794,3.444875558,2.84070843,5.17
8403,JD,1984,Spring,1984Spring,83.3,55,Anchovy,E66,18.17,2.834873991,3.01993044,2.831232184,5.25
8403,JD,1984,Spring,1984Spring,83.3,70,Anchovy,E68,18.83,4.458917954,2.739154742,2.217588414,14.09
8403,JD,1984,Spring,1984Spring,83.3,70,Anchovy,E70,20.17,0.742201847,2.862482956,2.525383999,8.59
8403,JD,1984,Spring,1984Spring,86.7,45,Anchovy,E74,19.17,1.549592446,3.652149897,2.783415384,5.67
8403,JD,1984,Spring,1984Spring,86.7,50,Anchovy,E75,20.17,-0.38069318,3.615443005,2.982509473,4.11
8403,JD,1984,Spring,1984Spring,86.7,55,Anchovy,E89,21.33,4.316686075,2.338136305,1.903892455,23.34
8403,JD,1984,Spring,1984Spring,93.3,70,Anchovy,E96,19.5,0.685838744,3.177346024,2.471847459,9.36
