uniquecode,Cruise,Year,Month,Ship_Code,St_Line,St_Station,Sml_PVolC3
5103 BD 80 100,195103,1951,3,BD,80,100,165
5103 BD 80 110,195103,1951,3,BD,80,110,230
5103 BD 80 120,195103,1951,3,BD,80,120,75
5103 BD 80 130,195103,1951,3,BD,80,130,160
5103 BD 80 55,195103,1951,3,BD,80,55,77
5103 BD 80 60,195103,1951,3,BD,80,60,137
5103 BD 80 70,195103,1951,3,BD,80,70,88
5103 BD 80 80,195103,1951,3,BD,80,80,39
5103 BD 80 90,195103,1951,3,BD,80,90,73
5103 BD 85 40,195103,1951,3,BD,85,40,43
5103 BD 85 50,195103,1951,3,BD,85,50,128
5103 BD 85 70,195103,1951,3,BD,85,70,130
5103 BD 85 80,195103,1951,3,BD,85,80,52
5103 BD 85 90,195103,1951,3,BD,85,90,76
5103 BD 90 100,195103,1951,3,BD,90,100,53
5103 BD 90 110,195103,1951,3,BD,90,110,38
5103 BD 90 120,195103,1951,3,BD,90,120,25
5103 BD 90 30,195103,1951,3,BD,90,30,244
5103 BD 90 37,195103,1951,3,BD,90,37,147
5103 BD 90 45,195103,1951,3,BD,90,45,42
5103 BD 90 53,195103,1951,3,BD,90,53,322
5103 BD 90 60,195103,1951,3,BD,90,60,91
5103 BD 90 70,195103,1951,3,BD,90,70,196
5103 BD 90 80,195103,1951,3,BD,90,80,108
5103 BD 90 90,195103,1951,3,BD,90,90,94
5103 BD 93.3 30,195103,1951,3,BD,93.3,30,251
5103 BD 93.3 40,195103,1951,3,BD,93.3,40,64
5103 BD 93.3 50,195103,1951,3,BD,93.3,50,41
5103 BD 93.3 60,195103,1951,3,BD,93.3,60,131
5103 BD 93.3 70,195103,1951,3,BD,93.3,70,147
5103 BD 93.3 80,195103,1951,3,BD,93.3,80,222
5103 BD 93.3 90,195103,1951,3,BD,93.3,90,30
5104 BD 76.7 55,195104,1951,4,BD,76.7,55,223
5104 BD 76.7 65,195104,1951,4,BD,76.7,65,251
5104 BD 80 100,195104,1951,4,BD,80,100,124
5104 BD 80 110,195104,1951,4,BD,80,110,171
5104 BD 80 120,195104,1951,4,BD,80,120,73
5104 BD 80 130,195104,1951,4,BD,80,130,99
5104 BD 80 55,195104,1951,4,BD,80,55,129
5104 BD 80 60,195104,1951,4,BD,80,60,147
5104 BD 80 70,195104,1951,4,BD,80,70,137
5104 BD 80 80,195104,1951,4,BD,80,80,35
5104 BD 80 90,195104,1951,4,BD,80,90,76
5104 BD 83.3 55,195104,1951,4,BD,83.3,55,195
5104 BD 83.3 60,195104,1951,4,BD,83.3,60,296
5104 BD 83.3 70,195104,1951,4,BD,83.3,70,84
5104 BD 83.3 80,195104,1951,4,BD,83.3,80,75
5104 BD 83.3 90,195104,1951,4,BD,83.3,90,65
5104 BD 86.7 35,195104,1951,4,BD,86.7,35,321
5104 BD 86.7 40,195104,1951,4,BD,86.7,40,221
5104 BD 86.7 50,195104,1951,4,BD,86.7,50,106
5104 BD 86.7 60,195104,1951,4,BD,86.7,60,148
5104 BD 86.7 70,195104,1951,4,BD,86.7,70,73
5104 BD 86.7 80,195104,1951,4,BD,86.7,80,196
5104 BD 86.7 90,195104,1951,4,BD,86.7,90,1536
5104 CR 90 100,195104,1951,4,CR,90,100,101
5104 CR 90 110,195104,1951,4,CR,90,110,48
5104 CR 90 120,195104,1951,4,CR,90,120,49
5104 CR 90 30,195104,1951,4,CR,90,30,154
5104 CR 90 37,195104,1951,4,CR,90,37,44
5104 CR 90 45,195104,1951,4,CR,90,45,161
5104 CR 90 53,195104,1951,4,CR,90,53,171
5104 CR 90 60,195104,1951,4,CR,90,60,56
5104 CR 90 70,195104,1951,4,CR,90,70,86
5104 CR 90 80,195104,1951,4,CR,90,80,83
5104 CR 90 90,195104,1951,4,CR,90,90,296
5104 CR 93.3 30,195104,1951,4,CR,93.3,30,121
5104 CR 93.3 40,195104,1951,4,CR,93.3,40,126
5104 CR 93.3 50,195104,1951,4,CR,93.3,50,149
5104 CR 93.3 60,195104,1951,4,CR,93.3,60,44
5104 CR 93.3 70,195104,1951,4,CR,93.3,70,141
5104 CR 93.3 80,195104,1951,4,CR,93.3,80,149
5104 CR 93.3 90,195104,1951,4,CR,93.3,90,51
5105 BD 76.7 55,195105,1951,5,BD,76.7,55,923
5105 BD 76.7 65,195105,1951,5,BD,76.7,65,95
5105 BD 80 55,195105,1951,5,BD,80,55,375
5105 BD 83.3 55,195105,1951,5,BD,83.3,55,197
5105 BD 83.3 60,195105,1951,5,BD,83.3,60,505
5105 BD 83.3 70,195105,1951,5,BD,83.3,70,588
5105 BD 86.7 35,195105,1951,5,BD,86.7,35,345
5105 BD 86.7 40,195105,1951,5,BD,86.7,40,180
5105 BD 86.7 50,195105,1951,5,BD,86.7,50,201
5105 BD 86.7 60,195105,1951,5,BD,86.7,60,5
5105 BD 86.7 70,195105,1951,5,BD,86.7,70,42
5105 BD 86.7 80,195105,1951,5,BD,86.7,80,74
5105 BD 86.7 90,195105,1951,5,BD,86.7,90,78
5105 CR 90 100,195105,1951,5,CR,90,100,26
5105 CR 90 110,195105,1951,5,CR,90,110,76
5105 CR 90 120,195105,1951,5,CR,90,120,42
5105 CR 90 30,195105,1951,5,CR,90,30,144
5105 CR 90 37,195105,1951,5,CR,90,37,222
5105 CR 90 45,195105,1951,5,CR,90,45,201
5105 CR 90 53,195105,1951,5,CR,90,53,134
5105 CR 90 60,195105,1951,5,CR,90,60,196
5105 CR 90 70,195105,1951,5,CR,90,70,46
5105 CR 90 80,195105,1951,5,CR,90,80,88
5105 CR 90 90,195105,1951,5,CR,90,90,79
5105 CR 93.3 30,195105,1951,5,CR,93.3,30,97
5105 CR 93.3 40,195105,1951,5,CR,93.3,40,120
5105 CR 93.3 50,195105,1951,5,CR,93.3,50,479
5105 CR 93.3 60,195105,1951,5,CR,93.3,60,97
5105 CR 93.3 70,195105,1951,5,CR,93.3,70,84
5105 CR 93.3 80,195105,1951,5,CR,93.3,80,57
5105 CR 93.3 90,195105,1951,5,CR,93.3,90,59
5203 HO 80 51,195203,1952,3,HO,80,51,980
5203 HO 80 55,195203,1952,3,HO,80,55,780
5203 HO 80 60,195203,1952,3,HO,80,60,304
5203 HO 80 70,195203,1952,3,HO,80,70,331
5203 HO 80 80,195203,1952,3,HO,80,80,294
5203 HO 85 38,195203,1952,3,HO,85,38,165
5203 HO 85 40,195203,1952,3,HO,85,40,109
5203 HO 85 50,195203,1952,3,HO,85,50,232
5203 HO 85 60,195203,1952,3,HO,85,60,142
5203 HO 85 70,195203,1952,3,HO,85,70,1365
5203 HO 90 28,195203,1952,3,HO,90,28,31
5203 HO 90 30,195203,1952,3,HO,90,30,47
5203 HO 90 37,195203,1952,3,HO,90,37,54
5203 HO 90 45,195203,1952,3,HO,90,45,80
5203 HO 90 53,195203,1952,3,HO,90,53,49
5203 HO 90 60,195203,1952,3,HO,90,60,265
5203 HO 90 70,195203,1952,3,HO,90,70,24
5203 HO 90 80,195203,1952,3,HO,90,80,48
5203 HO 90 90,195203,1952,3,HO,90,90,32
5203 HO 93.3 27,195203,1952,3,HO,93.3,27,179
5203 HO 93.3 30,195203,1952,3,HO,93.3,30,52
5203 HO 93.3 40,195203,1952,3,HO,93.3,40,54
5203 HO 93.3 50,195203,1952,3,HO,93.3,50,151
5203 HO 93.3 60,195203,1952,3,HO,93.3,60,75
5203 HO 93.3 70,195203,1952,3,HO,93.3,70,63
5204 CR 90 100,195204,1952,4,CR,90,100,32
5204 CR 90 28,195204,1952,4,CR,90,28,213
5204 CR 90 30,195204,1952,4,CR,90,30,147
5204 CR 90 37,195204,1952,4,CR,90,37,136
5204 CR 90 45,195204,1952,4,CR,90,45,154
5204 CR 90 53,195204,1952,4,CR,90,53,66
5204 CR 90 60,195204,1952,4,CR,90,60,72
5204 CR 90 70,195204,1952,4,CR,90,70,80
5204 CR 90 80,195204,1952,4,CR,90,80,21
5204 CR 90 90,195204,1952,4,CR,90,90,28
5204 CR 93.3 27,195204,1952,4,CR,93.3,27,138
5204 CR 93.3 30,195204,1952,4,CR,93.3,30,149
5204 CR 93.3 40,195204,1952,4,CR,93.3,40,171
5204 CR 93.3 50,195204,1952,4,CR,93.3,50,67
5204 CR 93.3 60,195204,1952,4,CR,93.3,60,50
5204 CR 93.3 70,195204,1952,4,CR,93.3,70,49
5204 CR 93.3 80,195204,1952,4,CR,93.3,80,40
5204 CR 93.3 90,195204,1952,4,CR,93.3,90,60
5204 HO 76.7 50,195204,1952,4,HO,76.7,50,147
5204 HO 76.7 55,195204,1952,4,HO,76.7,55,218
5204 HO 80 100,195204,1952,4,HO,80,100,867
5204 HO 80 51,195204,1952,4,HO,80,51,961
5204 HO 80 55,195204,1952,4,HO,80,55,326
5204 HO 80 60,195204,1952,4,HO,80,60,294
5204 HO 80 70,195204,1952,4,HO,80,70,78
5204 HO 80 80,195204,1952,4,HO,80,80,176
5204 HO 80 90,195204,1952,4,HO,80,90,270
5204 HO 83.3 55,195204,1952,4,HO,83.3,55,204
5204 HO 83.3 60,195204,1952,4,HO,83.3,60,146
5204 HO 83.3 70,195204,1952,4,HO,83.3,70,328
5204 HO 83.3 80,195204,1952,4,HO,83.3,80,60
5204 HO 83.3 90,195204,1952,4,HO,83.3,90,120
5204 HO 86.7 35,195204,1952,4,HO,86.7,35,193
5204 HO 86.7 40,195204,1952,4,HO,86.7,40,175
5204 HO 86.7 50,195204,1952,4,HO,86.7,50,252
5204 HO 86.7 60,195204,1952,4,HO,86.7,60,189
5204 HO 86.7 70,195204,1952,4,HO,86.7,70,79
5204 HO 86.7 80,195204,1952,4,HO,86.7,80,71
5204 HO 86.7 90,195204,1952,4,HO,86.7,90,270
5205 BD 76.7 50,195205,1952,5,BD,76.7,50,461
5205 BD 76.7 55,195205,1952,5,BD,76.7,55,248
5205 BD 76.7 60,195205,1952,5,BD,76.7,60,97
5205 BD 76.7 65,195205,1952,5,BD,76.7,65,175
5205 BD 80 100,195205,1952,5,BD,80,100,66
5205 BD 80 51,195205,1952,5,BD,80,51,85
5205 BD 80 55,195205,1952,5,BD,80,55,208
5205 BD 80 60,195205,1952,5,BD,80,60,136
5205 BD 80 70,195205,1952,5,BD,80,70,18
5205 BD 80 80,195205,1952,5,BD,80,80,106
5205 BD 80 85,195205,1952,5,BD,80,85,142
5205 BD 80 90,195205,1952,5,BD,80,90,80
5205 BD 83.3 43,195205,1952,5,BD,83.3,43,594
5205 BD 83.3 55,195205,1952,5,BD,83.3,55,205
5205 BD 83.3 60,195205,1952,5,BD,83.3,60,280
5205 BD 83.3 65,195205,1952,5,BD,83.3,65,338
5205 BD 83.3 70,195205,1952,5,BD,83.3,70,203
5205 BD 83.3 75,195205,1952,5,BD,83.3,75,43
5205 BD 83.3 80,195205,1952,5,BD,83.3,80,92
5205 BD 83.3 85,195205,1952,5,BD,83.3,85,70
5205 BD 83.3 90,195205,1952,5,BD,83.3,90,84
5205 ES 93.3 27,195205,1952,5,ES,93.3,27,124
5205 ES 93.3 30,195205,1952,5,ES,93.3,30,104
5205 ES 93.3 35,195205,1952,5,ES,93.3,35,231
5205 ES 93.3 40,195205,1952,5,ES,93.3,40,98
5205 ES 93.3 45,195205,1952,5,ES,93.3,45,106
5205 ES 93.3 50,195205,1952,5,ES,93.3,50,116
5205 ES 93.3 55,195205,1952,5,ES,93.3,55,160
5205 ES 93.3 60,195205,1952,5,ES,93.3,60,189
5205 ES 93.3 65,195205,1952,5,ES,93.3,65,50
5205 ES 93.3 70,195205,1952,5,ES,93.3,70,29
5205 ES 93.3 75,195205,1952,5,ES,93.3,75,60
5205 ES 93.3 80,195205,1952,5,ES,93.3,80,33
5205 SB 86.7 35,195205,1952,5,SB,86.7,35,134
5205 SB 86.7 40,195205,1952,5,SB,86.7,40,60
5205 SB 86.7 45,195205,1952,5,SB,86.7,45,129
5205 SB 86.7 50,195205,1952,5,SB,86.7,50,276
5205 SB 86.7 55,195205,1952,5,SB,86.7,55,238
5205 SB 86.7 60,195205,1952,5,SB,86.7,60,262
5205 SB 86.7 65,195205,1952,5,SB,86.7,65,450
5205 SB 86.7 70,195205,1952,5,SB,86.7,70,505
5205 SB 86.7 75,195205,1952,5,SB,86.7,75,161
5205 SB 86.7 80,195205,1952,5,SB,86.7,80,60
5205 SB 90 28,195205,1952,5,SB,90,28,80
5205 SB 90 30,195205,1952,5,SB,90,30,85
5205 SB 90 37,195205,1952,5,SB,90,37,125
5205 SB 90 45,195205,1952,5,SB,90,45,185
5205 SB 90 53,195205,1952,5,SB,90,53,220
5205 SB 90 60,195205,1952,5,SB,90,60,68
5205 SB 90 65,195205,1952,5,SB,90,65,43
5205 SB 90 75,195205,1952,5,SB,90,75,36
5205 SB 90 80,195205,1952,5,SB,90,80,75
5205 SB 90 90,195205,1952,5,SB,90,90,110
5303 ES 80 100,195303,1953,3,ES,80,100,112
5303 ES 80 51,195303,1953,3,ES,80,51,845
5303 ES 80 55,195303,1953,3,ES,80,55,352
5303 ES 80 60,195303,1953,3,ES,80,60,337
5303 ES 80 70,195303,1953,3,ES,80,70,245
5303 ES 80 80,195303,1953,3,ES,80,80,50
5303 ES 80 90,195303,1953,3,ES,80,90,98
5303 ES 83.3 43,195303,1953,3,ES,83.3,43,689
5303 ES 83.3 48,195303,1953,3,ES,83.3,48,167
5303 ES 83.3 51,195303,1953,3,ES,83.3,51,111
5303 ES 83.3 55,195303,1953,3,ES,83.3,55,316
5303 ES 83.3 60,195303,1953,3,ES,83.3,60,550
5303 ES 85 39,195303,1953,3,ES,85,39,131
5303 ES 85 40,195303,1953,3,ES,85,40,222
5303 ES 85 45,195303,1953,3,ES,85,45,372
5303 ES 85 50,195303,1953,3,ES,85,50,188
5303 ES 85 55,195303,1953,3,ES,85,55,284
5303 ES 85 60,195303,1953,3,ES,85,60,565
5303 ES 86.7 35,195303,1953,3,ES,86.7,35,178
5303 ES 86.7 40,195303,1953,3,ES,86.7,40,165
5303 ES 86.7 45,195303,1953,3,ES,86.7,45,296
5303 ES 86.7 50,195303,1953,3,ES,86.7,50,317
5303 ES 86.7 55,195303,1953,3,ES,86.7,55,767
5303 ES 90 28,195303,1953,3,ES,90,28,157
5303 ES 90 30,195303,1953,3,ES,90,30,195
5303 ES 90 37,195303,1953,3,ES,90,37,100
5303 ES 90 45,195303,1953,3,ES,90,45,141
5303 ES 90 50,195303,1953,3,ES,90,50,108
5303 ES 90 55,195303,1953,3,ES,90,55,1337
5303 ES 90 60,195303,1953,3,ES,90,60,135
5303 ES 90 70,195303,1953,3,ES,90,70,225
5303 ES 90 80,195303,1953,3,ES,90,80,217
5303 ES 90 90,195303,1953,3,ES,90,90,70
5303 ES 93.3 30,195303,1953,3,ES,93.3,30,139
5303 ES 93.3 50,195303,1953,3,ES,93.3,50,214
5304 CR 93.3 27,195304,1953,4,CR,93.3,27,321
5304 CR 93.3 30,195304,1953,4,CR,93.3,30,171
5304 CR 93.3 35,195304,1953,4,CR,93.3,35,99
5304 CR 93.3 40,195304,1953,4,CR,93.3,40,165
5304 CR 93.3 45,195304,1953,4,CR,93.3,45,184
5304 CR 93.3 50,195304,1953,4,CR,93.3,50,346
5304 CR 93.3 55,195304,1953,4,CR,93.3,55,130
5304 CR 93.3 60,195304,1953,4,CR,93.3,60,77
5304 CR 93.3 70,195304,1953,4,CR,93.3,70,548
5304 CR 93.3 80,195304,1953,4,CR,93.3,80,83
5304 CR 93.3 90,195304,1953,4,CR,93.3,90,63
5304 ES 83.3 40,195304,1953,4,ES,83.3,40,109
5304 ES 83.3 48,195304,1953,4,ES,83.3,48,386
5304 ES 85 39,195304,1953,4,ES,85,39,440
5304 ES 85 40,195304,1953,4,ES,85,40,434
5304 ES 85 45,195304,1953,4,ES,85,45,291
5304 ES 85 50,195304,1953,4,ES,85,50,177
5304 ES 85 55,195304,1953,4,ES,85,55,459
5304 ES 86.7 35,195304,1953,4,ES,86.7,35,331
5304 HO 76.7 50,195304,1953,4,HO,76.7,50,33
5304 HO 76.7 55,195304,1953,4,HO,76.7,55,224
5304 HO 76.7 65,195304,1953,4,HO,76.7,65,1212
5304 HO 80 100,195304,1953,4,HO,80,100,63
5304 HO 80 110,195304,1953,4,HO,80,110,84
5304 HO 80 120,195304,1953,4,HO,80,120,37
5304 HO 80 130,195304,1953,4,HO,80,130,107
5304 HO 80 145,195304,1953,4,HO,80,145,41
5304 HO 80 160,195304,1953,4,HO,80,160,57
5304 HO 80 51,195304,1953,4,HO,80,51,163
5304 HO 80 55,195304,1953,4,HO,80,55,594
5304 HO 80 60,195304,1953,4,HO,80,60,366
5304 HO 80 70,195304,1953,4,HO,80,70,150
5304 HO 80 80,195304,1953,4,HO,80,80,193
5304 HO 80 90,195304,1953,4,HO,80,90,282
5304 HO 90 100,195304,1953,4,HO,90,100,82
5304 HO 90 110,195304,1953,4,HO,90,110,72
5304 HO 90 120,195304,1953,4,HO,90,120,252
5304 HO 90 130,195304,1953,4,HO,90,130,26
5304 HO 90 145,195304,1953,4,HO,90,145,56
5304 HO 90 160,195304,1953,4,HO,90,160,23
5304 HO 90 28,195304,1953,4,HO,90,28,118
5304 HO 90 30,195304,1953,4,HO,90,30,319
5304 HO 90 37,195304,1953,4,HO,90,37,82
5304 HO 90 45,195304,1953,4,HO,90,45,66
5304 HO 90 55,195304,1953,4,HO,90,55,646
5304 HO 90 60,195304,1953,4,HO,90,60,3247
5304 HO 90 70,195304,1953,4,HO,90,70,106
5304 HO 90 80,195304,1953,4,HO,90,80,141
5304 HO 90 90,195304,1953,4,HO,90,90,75
5304 PT 83.3 43,195304,1953,4,PT,83.3,43,359
5304 PT 83.3 48,195304,1953,4,PT,83.3,48,104
5304 PT 83.3 51,195304,1953,4,PT,83.3,51,190
5304 PT 83.3 55,195304,1953,4,PT,83.3,55,424
5304 PT 83.3 60,195304,1953,4,PT,83.3,60,1030
5304 PT 83.3 70,195304,1953,4,PT,83.3,70,112
5304 PT 83.3 80,195304,1953,4,PT,83.3,80,135
5304 PT 83.3 90,195304,1953,4,PT,83.3,90,278
5304 PT 85 39,195304,1953,4,PT,85,39,250
5304 PT 85 40,195304,1953,4,PT,85,40,187
5304 PT 85 45,195304,1953,4,PT,85,45,165
5304 PT 85 50,195304,1953,4,PT,85,50,415
5304 PT 85 55,195304,1953,4,PT,85,55,239
5304 PT 85 60,195304,1953,4,PT,85,60,481
5304 PT 86.7 35,195304,1953,4,PT,86.7,35,77
5304 PT 86.7 40,195304,1953,4,PT,86.7,40,96
5304 PT 86.7 45,195304,1953,4,PT,86.7,45,112
