"","Year","COP_SS_MAP","COP_SS_lower95","COP_SS_upper95"
"1",1960,6.89301747199626,6.16374382237797,7.61293374252587
"2",1961,6.89721778284207,6.24453883673317,7.55692105092801
"3",1962,6.91798719929204,6.31002610537143,7.58271252134142
"4",1963,6.90959417809371,6.3140328256194,7.54468778670782
"5",1964,6.88008697936291,6.28067707307824,7.48945917000045
"6",1965,6.8470543161463,6.20465885792247,7.42048864736755
"7",1966,6.84487288892862,6.18764655428574,7.43323251401511
"8",1967,6.85859010898969,6.17040259216166,7.49369167923477
"9",1968,6.87464391046383,6.19690514373428,7.54578912520538
"10",1969,6.89095047779393,6.25413147593485,7.57588960215894
"11",1970,6.8935481514669,6.23486202556002,7.62229790977171
"12",1971,6.89734887391074,6.25357889386807,7.62865122414496
"13",1972,6.90045841559882,6.28572082442324,7.62684718556645
"14",1973,6.8672490209623,6.21875605700192,7.55158577036365
"15",1974,6.83380394793147,6.16373882945931,7.46500573791995
"16",1975,6.79820055889851,6.13380893629174,7.33887426347838
"17",1976,6.7339090188276,5.97920531351096,7.24385857382241
"18",1977,6.6763557784381,5.78842819756045,7.21124417983526
"19",1978,6.67354336003893,5.75794524964823,7.21000848050183
"20",1979,6.76257013904783,6.10268568625241,7.26442103642734
"21",1980,6.7835893556066,6.13560746068227,7.27634616603918
"22",1981,6.78956898068845,6.13806065373857,7.28614751008023
"23",1982,6.83601227079482,6.24850632395033,7.34848599602654
"24",1983,6.83990040695666,6.21540856118569,7.33615630359174
"25",1984,6.93880639313805,6.4134633112696,7.56225275690007
"26",1985,6.96628030958984,6.46017610187547,7.62013215767329
"27",1986,6.95142157668678,6.43658677841945,7.55330374242409
"28",1987,6.92329118807087,6.38858390477083,7.46823146010246
"29",1988,6.92952035784526,6.38936733967833,7.46986517341606
"30",1989,6.93870840506559,6.41107322066153,7.49086744371753
"31",1990,6.91484767107561,6.34361305759043,7.45540856715726
"32",1991,6.89607628639841,6.24362284025653,7.42941018535923
"33",1992,6.87686543749308,6.17568327064389,7.38930743829398
"34",1993,6.91312034101765,6.29160549335927,7.42600327461395
"35",1994,6.93522376329827,6.34229190004518,7.46515099484816
"36",1995,6.95463598883087,6.37521475055211,7.49643491866133
"37",1996,6.978507713734,6.41195049858211,7.51984954215285
"38",1997,6.99510617386465,6.42655624928645,7.53871784912938
"39",1998,7.02169423168901,6.45778544254289,7.58888406987519
"40",1999,7.11979949313103,6.60630270182386,7.7949703269134
"41",2000,7.18591386573312,6.64202817245225,7.96854737227488
"42",2001,7.21491427156074,6.65574118432963,8.02744212816265
"43",2002,7.22154924779388,6.65106358293782,8.02854565828408
"44",2003,7.20274935483538,6.62143285112621,8.00452081093809
"45",2004,7.15470564672691,6.57467074646949,7.90823874483341
"46",2005,7.1193508897863,6.45609545299622,7.89003236916143
