year,COPEPODA_small,Calanus pacificus,Metridia cf. pacifica,Pleuromamma borealis,Eucalanus californicus,Rhincalanus nasutus,OTHER CALANOIDS,Pleuromamma abdominalis edentata,Mesocalanus tenuicornis,Pleuromamma gracilis,Aetideus divergens,Heterorhabdus papilliger,Candacia bipinnata,Gaidius pungens,Pleuromamma quadrungulata,Euchirella pseudopulchra,Labidocera trispinosa,Aetideus bradyi,Euchaeta media,Lucicutia flavicornis,Pleuromamma abdominalis typica,Pleuromamma piseki,Candacia curta,Nannocalanus minor,cluster,years
1958,9494.258,4620.525,498.225,1221.675,179.156,514.434,165.848,92.138,79.853,20.475,0,20.475,12.285,0,6.143,2.048,24.57,20.475,10.238,4.095,2.048,0,47.093,6.143,Clust1,1958-1965
1959,11931.528,4718.88,151.38,256.128,221.328,285.36,75.168,58.464,23.49,8.7,0,6.96,6.09,0,0.87,2.61,6.96,0.87,0.87,0.87,4.35,0,8.7,0.87,Clust1,1958-1965
1960,11604.0915,4375.687,993.958,1391.3675,39.0575,167.688,183.4605,82.7045,27.7775,21.916,0,13.2385,12.1845,0,6.092,6.916,5.1535,3.046,0.9385,0.9385,3.9845,0.9385,1.054,0.9385,Clust1,1958-1965
1961,8987.785,2507.199,783.831,305.058,174.138,120.752,128.379,67.367,14.527,1.816,0,4.54,12.711,0,6.355,6.355,4.54,0.908,2.724,0,0.908,0.908,0.908,0,Clust1,1958-1965
1962,12844.7115,3472.453,1878.643,984.6645,143.321,298.5465,203.957,173.6105,40.526,3.2145,0,14.7515,4.9245,0,6.304,18.274,1.0715,3.75,5.666,0.5355,3.853,0.5355,2.143,0.5355,Clust1,1958-1965
1963,11299.938,5833.62,1662,288.08,56.983,248.377,168.97,83.1,32.053,3.561,0,14.246,18.994,0,0,14.246,0,4.749,1.187,3.561,2.374,0,0,0,Clust1,1958-1965
1964,17480.994,2636.43325,1039.11825,942.6584167,243.6233333,1028.8905,199.5553333,121.9044167,90.38991667,12.96666667,0,13.73808333,11.19358333,0,1.10125,5.441083333,16.99258333,34.56116667,7.41975,2.218583333,4.406833333,0.633833333,29.34683333,36.38475,Clust1,1958-1965
1965,5446.543,1025.714,475.931,187.09,72.445,153.154,126.602,67.697,20.221,7.913,0,3.517,8.792,0,8.792,5.275,7.033,3.517,3.517,0.879,3.517,4.396,2.638,0.879,Clust1,1958-1965
1966,11434.0268,8070.853,630.2445,1073.7875,36.362,251.777,105.5645,130.0115,98.841,39.2495,152.7085,23.207,8.96,51.1125,6.691,3.346,7.5725,6.332,4.7495,3.166,6.691,1.7625,2.1055,2.4645,Clust2,1966-1972
1969,27348.55,8728.896,1289.053,1781.644,204.711,401.6695,317.449,108.176,22.6245,110.139,252.3995,26.828,13.9315,29.0355,19.2675,5.222,2.2815,21.3045,16.9295,21.7195,5.882,12.367,24.1885,0.9615,Clust2,1966-1972
1972,12047.66693,3504.902,2434.812,552.436,155.373,316.116,337.6,113.556,42.2,30.691,184.145,36.445,7.673,0,15.345,13.427,5.755,40.282,11.509,1.918,5.755,28.773,1.918,1.918,Clust2,1966-1972
1975,18830.442,6211.697,1557.969,300.984,276.075,247.015,262.929,71.306,14.799,13.454,0,20.181,6.727,0,16.145,10.763,4.036,5.382,9.418,4.036,5.382,4.036,1.345,0,Clust3,1975-1988
1976,4543.497,2359.872,593.438,364.392,59.864,497.135,262.883,41.645,33.836,18.22,0,13.014,10.411,0,23.425,5.206,2.603,7.808,5.206,5.206,5.206,0,0,0,Clust3,1975-1988
1977,22729.309,6299.027,173.292,858.208,733.053,908.545,465.825,173.292,72.205,70.142,468.714,2.063,8.252,0,2.063,8.252,0,18.567,8.252,6.189,2.063,0,26.819,55.701,Clust3,1975-1988
1978,12201.471,1651.95545,101.37255,562.0957,391.1461,515.15445,310.43525,73.40075,48.3123,100.4563,0,10.32535,16.74385,32.86,30.95605,7.53575,326.9406,44.74295,15.61,13.38395,4.5777,4.55265,7.568,3.8265,Clust3,1975-1988
1979,14443.14836,3637.905,2797.926,662.667,649.143,437.27,298.276,205.111,84.148,165.667,0,21.037,18.407,0,13.148,10.519,2.63,39.444,10.519,7.889,15.778,10.519,5.259,0,Clust3,1975-1988
1980,21948.2114,6884.16,1047.96,1030.92,382.183,1124.64,318.283,234.3,60.857,45.643,0,12.171,27.386,0,15.214,3.043,15.214,12.171,15.214,0,12.171,6.086,3.043,12.171,Clust3,1975-1988
1981,23545.645,4027.187,336.744,481.063,479.345,1305.743,273.175,164.936,37.368,18.04,0,11.597,9.02,0,21.906,6.443,7.731,9.02,3.866,0,3.866,0,15.463,9.02,Clust3,1975-1988
1982,15260.096,1953.012,1883.556,649.827,360.23,236.622,305.136,151.862,28.253,49.443,0,16.481,4.709,0,11.772,14.127,7.063,0,4.709,2.354,0,2.354,0,2.354,Clust3,1975-1988
1983,4304.52,332.4167143,145.5606429,1000.841929,106.7960714,206.4988571,190.7373571,59.73242857,12.21457143,74.63185714,0,25.81228571,2.969571429,0,16.6485,3.155928571,0,1.227142857,7.628857143,1.853785714,9.399,4.099214286,14.73528571,5.863357143,Clust3,1975-1988
1984,33040.65574,2995.04,4413.013,1979.467,953.8665,500.72,244.4365,171.31,62.09,118.27,6.31,40.4,19.99,96.7,18.98,22.48,1.06,0,29.16,27.04,14.05,11.61,7.05,1.06,Clust3,1975-1988
1985,23162.289,5178.31,2971.498,304.078,842.951,280.984,196.304,69.284,25.019,7.698,0,9.623,3.849,0,15.396,11.547,0,0,7.698,1.925,1.925,0,0,0,Clust3,1975-1988
1986,19584.00923,5793.762,1585.697,286.448,790.949,460.364,332.698,272.808,65.218,38.364,0,1.918,34.527,0,24.936,7.673,30.691,5.755,9.591,0,9.591,7.673,0,0,Clust3,1975-1988
1987,12790.908,5852.76,525.48,1037.37,181.2,279.853,188.373,142.947,43.035,57.758,0,6.795,4.53,0,14.723,6.795,0,3.398,14.723,3.398,16.988,3.398,1.133,0,Clust3,1975-1988
1988,19136.444,6902,961.333,1260,527.333,550.667,252,119,64.75,89.25,0,15.75,14,0,19.25,14,0,14,19.25,0,1.75,5.25,7,0,Clust3,1975-1988
1989,15751.338,3926.773,1917.298,410.85,235.053,259.941,152.093,91.256,19.012,15.555,0,13.827,0,67.405,32.838,5.185,0,5.185,6.913,0,1.728,1.728,0,0,Clust4,1989-1990
1990,8412.408,2724.802,895.938,539.789,377.237,270.627,112.993,103.113,28.855,25.969,111.55,10.099,11.542,58.431,18.756,14.427,0,1.443,8.656,0,5.771,2.885,0,0,Clust4,1989-1990
1992,3116.333,464.277,292.925,367.593,570.535,106.518,226.265,86.793,27.152,84.24,0,14.62,8.354,0,16.709,22.975,2.089,2.089,22.975,2.089,10.443,0,4.177,2.089,Clust5,1992-1999
1993,5346.034,864.96,1119.36,160.272,315.456,134.832,320.544,76.32,68.688,86.496,65.72,20.352,21.624,0,21.624,6.36,1.272,3.816,16.536,6.36,7.632,22.896,3.816,10.176,Clust5,1992-1999
1994,8009.05,1741.143,987.968,269.147,525.166,232.058,341.631,105.69,45.952,39.825,183.808,30.635,18.381,0,22.976,13.786,3.063,7.659,18.381,6.127,15.317,32.166,0,13.786,Clust5,1992-1999
1995,8988.776389,1293.68,885.8,539.72,208.06,127.72,251.32,70.04,39.14,85.147,0,20.6,6.18,0,22.66,4.12,2.06,6.18,8.24,2.06,14.42,16.48,0,0,Clust5,1992-1999
1996,20817.48,6973.12,1143.32,206.424,719.153,704.927,326.282,89.188,20.582,25.727,0,34.303,25.727,0,27.442,8.576,0,29.158,18.867,12.006,5.145,15.436,0,1.715,Clust5,1992-1999
1997,8277.951583,1422.269,845.359,813.094,77.438,224.569,211.663,149.713,25.813,38.719,0,18.069,10.325,0,15.488,7.744,0,2.581,12.906,7.744,10.325,23.231,0,2.581,Clust5,1992-1999
1998,6128.397176,715.545,286.357,965.325,438.88,388.24,299.944,73.85,22.723,65.41,0,17.854,14.608,0,14.608,11.362,0,14.608,24.346,1.623,9.738,6.492,6.492,21.1,Clust5,1992-1999
